title;rating;chapters;description;url
Debtbound by Blood;;39;Kim Sang-an is a cold-blooded loan shark. When his younger sister, a schoolteacher, takes her own life after relentless bullying from her students, he becomes the homeroom teacher of those very students to collect the price of her life. A merciless loan shark who will collect his debts even if it means descending into hell and a class of devil-like students... A vicious, twisted teacher-student relationship.;https://demonicscans.org/manga/Debtbound-by-Blood
Defense Breaker;;56;Jihoon is pulled into a defense game. He's forced to become the captain of the knights and defend the kingdom from monsters. But the wounds he received from people haven't healed yet, so he refuses to protect the kingdom. Then suddenly, a new route opens up...;https://demonicscans.org/manga/Defense-Breaker
Demon Rakshasa;;32;Hong Do-jin, a gangster. Borrowing the power of a monster, he takes revenge.;https://demonicscans.org/manga/Demon-Rakshasa
Demonic Beast Hunter Survival Guide;;32;"For 12 years, Woojin suffered from mysterious nightmares of unknown origin, until he suddenly met his death... When he opened his eyes, he found himself not in the real world, but inside the very world from his nightmares--the ""Demon Realm."" Using the skills he had honed all this time, Woojin hunts demon beasts and grows stronger with each kill. As a beast hunter, he begins living a brand-new life. 'A dark fantasy world where you grow stronger the more you hunt? Honestly, that's better.'";https://demonicscans.org/manga/Demonic-Beast-Hunter-Survival-Guide
Demonic Frontline: The Thirteenth Flying Dragon;;36;"Once the shame of his family, now an overpowered martial arts prodigy with a perfect memory?! ""I died and returned to the front lines, and this time, I'm no longer the pig I used to be!";https://demonicscans.org/manga/Demonic-Frontline%253A-The-Thirteenth-Flying-Dragon
Devil and Ice;;50;The strongest from another world are reborn--so much for a normal life. The Heavenly Demon, who was on the brink of conquering the world. After dying together in a final showdown with his archenemy, the Ice Witch, the two are reborn as ordinary twins in the human world. But their peace is short-lived. Now that they are teenagers, organizations of Reincarnators are shaking up the world. The world refuses to leave these siblings alone, even as they try to hide the powers of their past lives. Old subordinates begin to gather, one by one. And the Ice Witch stands by his side--not as an enemy this time, but as a partner. Will the Heavenly Demon be able to become the world's strongest once again?!;https://demonicscans.org/manga/Devil-and-Ice
Devil Summoner, I am the Abyss Lord;;81;"Lin Tianhao, who has transmigrated to another world, attends the Job Change Ceremony and ends up taking on a ""sewer-tier"" job -- Summoner. Just as everyone is mocking him, believing his future is doomed, he suddenly awakens a system and gains the skill [Demonic Sacrifice]! Who says the Summoner class is trash? I have the strongest SSS-rank talent";https://demonicscans.org/manga/Devil-Summoner%252C-I-am-the-Abyss-Lord
Doctor Brothers;;43;"If only my brother hadn't existed -- my life would have been a little better..."" Kyoji Kato is busy with part-time work and lives a gloomy life. He has an unshakable inferiority complex towards his older brother Kyoichiro, who took over from their late father and is active overseas as a genius doctor. One night, he gets a phone call from his mother. ""My brother...Kyoichiro has died."" Kyoji, who was in a daze after suddenly losing someone important to him, was cleaning up his brother's room when he suddenly had a seizure and lost consciousness. He wakes up to find out 11 years ago. In the midst of the confusion, his brother appears in front of him in his younger days, confronting the hospital director, Otomo. ""You killed my father!!"" With those words, he has another seizure and is pulled back to the present. -- Carrying the memories of his brother. The shadow of Otomo appears behind the deaths of his father and brother. In order to uncover the truth, Kyoji aspires to become a doctor. The gears of memory and revenge begin to turn. The past and present intertwine, and a tale of memory inheritance and revenge begins now!";https://demonicscans.org/manga/Doctor-Brothers
Don't Look for the Resurrected Villainess;;42;NA;https://demonicscans.org/manga/Don%255C%2527t-Look-for-the-Resurrected-Villainess
Don't Tell Me You Think Cultivating Immortality Is Difficult?;;48;A humble rookie seeks the path to immortality -- only to accidentally join a sect full of pretentious con artists. His seven senior brothers brim with confidence, taking turns spouting out fabricated divine techniques. But no one expected this newcomer to be a genius. He actually comprehends everything -- even their nonsense! In the end, the master falls into despair. Just who is this junior disciple?;https://demonicscans.org/manga/Don%255C%2527t-Tell-Me-You-Think-Cultivating-Immortality-Is-Difficult%253F
Doomsday Arrival: Evolution into the Crimson King;;50;As the apocalyptic red fog engulfs the city, Yan Hao witnesses the tragic deaths of his loved ones and the disappearance of his sister. Driven by revenge and a search for his family, he joins humanity's last line of defense, yet harbors a most dangerous secret: a power surging within him, shared with the power of otherworldly beasts! In a post-apocalyptic battlefield rife with blood and flesh, he walks the fine line between hero and monster, devouring otherworldly beasts for strength, yet constantly on the verge of losing control! Continuously evolving, he absorbs the beasts' abilities and takes them for himself! Slaughtering all before revealing his true form, he becomes the Crimson King!;https://demonicscans.org/manga/Doomsday-Arrival%253A-Evolution-into-the-Crimson-King
Doomsday Game: Rise of the Villain;;55;"I am a hardcore player who is as good as a god in the popular apocalypse game ""Biochemical Wasteland"". In order to earn money to treat my father's illness, I accepted a mysterious mission invitation in the game! I thought that what was waiting for me was a daily routine of eating, sleeping and fighting monsters, but I didn't expect that I would become the weakest villain zombie in the game! But I gradually grasped the survival rules of the apocalypse and started the road to becoming the strongest zombie...";https://demonicscans.org/manga/Doomsday-Game%253A-Rise-of-the-Villain
